DATASET_EN,NAME_EN,ADDRESS_EN,LATITUDE,LONGITUDE
Restaurant licences,Sakana Hibi,"SHOP NO.1204, 12/F, TOWER I, THE TWINS, 12 CONCORDE ROAD, KAI TAK, KOWLOON",22.331793354561565,114.20168512786056
Restaurant licences,YUAN JI DUMPLING,"SHOP T, G/F, SAN PO KONG MANSION, 88-114 CHOI HUNG ROAD, SAN PO KONG, KOWLOON",22.336581945991796,114.19517055923282
Restaurant licences,SHIMOUMI SUSHI,"SHOP NO. 102, 1/F, THE CAMERON, NO.33 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",22.2995557597881,114.17488715950337
Restaurant licences,Sam Sam,"PORTIONS A, B, C AND D OF SHOP A, G/F., NO.55 KIMBERLEY ROAD, TSIM SHA TSUI, KOWLOON",22.301019788191724,114.17458249774036
Restaurant licences,HONG KONG BBQ,"SHOP A, G/F, GINZ 8, 44 TSUN YIP STREET, KWUN TONG, KOWLOON",22.310298726321538,114.22156088649525
Restaurant licences,Water Gate Chicken Rice (West 9 Zone),"SHOP NOS. G4A & B, G/F., WEST 9 ZONE, NO. 38 CHERRY STREET, TAI KOK TSUI, KOWLOON",22.3190572880737,114.16149601496826
Restaurant licences,Pho Le,"SHOP NOS. 322 AND 323, 3/F, SHUN TAK CENTRE (PODIUM), NOS. 168-200 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, HONG KONG",22.287924199465305,114.15186359862822
Restaurant licences,RICH KAT,"30/F, 38 YIU WA STREET, CAUSEWAY BAY, HONG KONG",22.277266194975994,114.1816118134927
Restaurant licences,Zen by Tera,"SHOP 109, LEVEL 1, NEW TOWN PLAZA, PHASE I, SHA TIN, NEW TERRITORIES",22.38183695402697,114.18863353680344
Restaurant licences,LUNGO,"SHOP 24A, G/F., YAN ON BUILDING, NO. 1 KWONG WA STREET, MONG KOK, KOWLOON",22.31588216006743,114.17246126890545
Restaurant licences,Asian Delights,"SHOP G29, G/F, GO PARK, 9 HOI YING ROAD, SAI SHA, TAI PO, NEW TERRITORIES",22.427307060916956,114.2651669367607
Restaurant licences,Sepoy Mess,"SHOP NO. R008, THIRD FLOOR AND ROOF, ELEMENTS, 1 AUSTIN ROAD WEST, KOWLOON",22.304663159061818,114.1619164733019
Restaurant licences,WOWDON,"SHOP NO. 1403, 14/F, TOWER 1, THE TWINS, 12 CONCORDE ROAD, KAI TAK, KOWLOON",22.332621685239335,114.20072817573629
Restaurant licences,Yakiniku Like,"SHOP NO. L2-50 & 51, LEVEL 2, V WALK, 28 SHAM MONG ROAD, SHAM SHUI PO, KOWLOON",22.326949702847855,114.15377975811116
Restaurant licences,SUGIDAMA QUARRY BAY,"SHOP NOS. SLG 3-5, SUB-LOWER GROUND FLOOR, WESTLANDS GARDENS, NOS. 1025-1037 KING'S ROAD, HONG KONG",22.285683733366948,114.21297755922208
Restaurant licences,MARIMBA,"SHOP A ON G/F, FOOK WO BUILDING, NOS. 14D, 14E & 14F ELGIN STREET & NOS. 59, 59A & 59B PEEL STREET, CENTRAL, HONG KONG",22.282515803016302,114.15240684411985
